Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,289.900001,-39.9,90,bottom
C2,100nF,C_0402_1005Metric,285.6,-56.7,-90,bottom
C3,1uF,C_0603_1608Metric,283.6,-39.3,90,bottom
C4,100nF,C_0402_1005Metric,287.9,-39.9,90,bottom
C5,100nF,C_0402_1005Metric,288.9,-39.9,90,bottom
C6,100nF,C_0402_1005Metric,280.8,-39.9,90,bottom
C7,100nF,C_0402_1005Metric,281.2,-45.9,180,bottom
C8,100nF,C_0402_1005Metric,281.199999,-49.8,180,bottom
C9,100nF,C_0402_1005Metric,286.6,-56.7,-90,bottom
C10,100nF,C_0402_1005Metric,293.8,-50.1,0,bottom
C11,100nF,C_0402_1005Metric,293.8,-45.9,0,bottom
C12,1uF,C_0603_1608Metric,282.1,-39.3,90,bottom
C13,1uF,C_0603_1608Metric,302.9,-32.7,90,bottom
C14,1uF,C_0603_1608Metric,297.899998,-32.7,90,bottom
C15,30pF,C_0402_1005Metric,289.6,-61.1,-90,bottom
C16,30pF,C_0402_1005Metric,284.2,-59.7,90,bottom
C17,100nF,C_0402_1005Metric,281.7,-30.7,-90,bottom
D1,1N4148,D_SOD-123-Pretty,7.9375,-5.55625,90,bottom
D2,1N4148,D_SOD-123-Pretty,26.9875,-5.55625,90,bottom
D3,1N4148,D_SOD-123-Pretty,46.0375,-5.55625,90,bottom
D4,1N4148,D_SOD-123-Pretty,65.0875,-5.55625,90,bottom
D5,1N4148,D_SOD-123-Pretty,84.1375,-5.55625,90,bottom
D6,1N4148,D_SOD-123-Pretty,103.1875,-5.55625,90,bottom
D7,1N4148,D_SOD-123-Pretty,122.2375,-5.55625,90,bottom
D8,1N4148,D_SOD-123-Pretty,141.2875,-5.55625,90,bottom
D9,1N4148,D_SOD-123-Pretty,160.3375,-5.55625,90,bottom
D10,1N4148,D_SOD-123-Pretty,179.3875,-5.55625,90,bottom
D11,1N4148,D_SOD-123-Pretty,198.4375,-5.55625,90,bottom
D12,1N4148,D_SOD-123-Pretty,217.4875,-5.55625,90,bottom
D13,1N4148,D_SOD-123-Pretty,236.5375,-5.55625,90,bottom
D14,1N4148,D_SOD-123-Pretty,239.7125,-5.55625,90,bottom
D15,1N4148,D_SOD-123-Pretty,298.45,-5.55625,90,bottom
D16,1N4148,D_SOD-123-Pretty,317.5,-5.55625,90,bottom
D17,1N4148,D_SOD-123-Pretty,320.675,-5.55625,90,bottom
D18,1N4148,D_SOD-123-Pretty,12.7,-24.60625,90,bottom
D19,1N4148,D_SOD-123-Pretty,36.5125,-24.60625,90,bottom
D20,1N4148,D_SOD-123-Pretty,55.5625,-24.60625,90,bottom
D21,1N4148,D_SOD-123-Pretty,74.6125,-24.60625,90,bottom
D22,1N4148,D_SOD-123-Pretty,93.6625,-24.60625,90,bottom
D23,1N4148,D_SOD-123-Pretty,112.7125,-24.60625,90,bottom
D24,1N4148,D_SOD-123-Pretty,131.7625,-24.60625,90,bottom
D25,1N4148,D_SOD-123-Pretty,150.8125,-24.60625,90,bottom
D26,1N4148,D_SOD-123-Pretty,169.8625,-24.60625,90,bottom
D27,1N4148,D_SOD-123-Pretty,188.9125,-24.60625,90,bottom
D28,1N4148,D_SOD-123-Pretty,207.9625,-24.60625,90,bottom
D29,1N4148,D_SOD-123-Pretty,227.0125,-24.60625,90,bottom
D30,1N4148,D_SOD-123-Pretty,246.0625,-24.60625,90,bottom
D31,1N4148,D_SOD-123-Pretty,249.2375,-24.60625,90,bottom
D32,1N4148,D_SOD-123-Pretty,298.45,-24.60625,90,bottom
D33,1N4148,D_SOD-123-Pretty,317.5,-24.60625,90,bottom
D34,1N4148,D_SOD-123-Pretty,320.675,-24.60625,90,bottom
